DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;AROEIRAS DO ITAIM;Caatinga;63;0;1;"-7,257";"-41,586";;25.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;PEDRO LAURENTINO;Caatinga;82;0;1;"-8,069";"-42,394";;15.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;REGENERACAO;Caatinga;112;0;1;"-6,316";"-42,606";;26.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SEBASTIAO LEAL;Cerrado;62;0;1;"-7,993";"-44,057";;163.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;PALMEIRA DO PIAUI;Cerrado;63;0;1;"-8,472";"-44,643";;59.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;PARANA;Cerrado;106;0;1;"-12,797";"-47,704";;62.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;JENIPAPO DOS VIEIRAS;Cerrado;100;0;1;"-5,572";"-45,466";;14
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BALSAS;Cerrado;62;0;1;"-7,586";"-46,087";;42.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;107;0;1;"-12,714";"-47,227";;471.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;GILBUES;Cerrado;114;0;1;"-9,636";"-45,799";;52.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;2;0;1;"-5,653";"-45,463";;40
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SUCUPIRA DO RIACHAO;Cerrado;62;0;1;"-6,349";"-43,586";;10.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;ALTO PARNAIBA;Cerrado;114;0;1;"-9,878";"-45,972";;56.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;PEDRO LAURENTINO;Caatinga;82;0;1;"-8,068";"-42,384";;106.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAMBAIBA;Cerrado;62;0;1;"-7,094";"-45,287";;26.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;TOCANTINIA;Cerrado;114;0;1;"-9,608";"-48,332";;44.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;ITAUEIRA;Caatinga;74;0;1;"-7,52";"-42,828";;13.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BAIXA GRANDE DO RIBEIRO;Cerrado;82;0;1;"-8,956";"-45,47";;167.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BELEM DO PIAUI;Caatinga;82;0;1;"-7,36";"-41,009";;15.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SANTANA DO PIAUI;Caatinga;63;0;1;"-6,909";"-41,528";;14.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;TOCANTINOPOLIS;Cerrado;4;0;1;"-6,274";"-47,619";;84.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;ITACAJA;Cerrado;93;0;1;"-8,719";"-47,408";;44.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;JENIPAPO DOS VIEIRAS;Cerrado;60;0;1;"-5,555";"-45,674";;54
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;MATEIROS;Cerrado;92;0;1;"-10,243";"-46,291";;27.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;FERNANDO FALCAO;Cerrado;61;0;1;"-6,267";"-45,005";;19
2019/09/08 16:20:00;AQUA_M-T;Brasil;CEARA;CARIUS;Caatinga;82;0;1;"-6,745";"-39,3";;19.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;FLORIANO;Caatinga;63;0;1;"-7,049";"-42,91";;15.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;CURRAIS;Cerrado;62;0;1;"-8,492";"-44,796";;171.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;MANOEL EMIDIO;Cerrado;62;0;1;"-8,302";"-43,997";;282.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SANTA FILOMENA;Cerrado;82;0;1;"-8,958";"-45,486";;32.8
